n,tiempo
1,0.000146
2,5.7e-05
4,0.0001
8,0.000255
16,0.000397
32,0.00127
64,0.005714
128,0.017078
256,0.065602
512,0.233685
1024,0.930752
2048,2.76689
4096,11.2138
8192,45.112
16384,180.081
32768,718.182
65536,2867.08
131072,11378.6
262144,48485.1
524288,196294
